title	id	price	condition	availability	brand	color	days on lot	dealer name	description	drivetrain	engine	image link	mileage.value	model	msrp	product type	transmission	trim	vin	year
"2025 Nissan Armada SL"	46aeded7-003d-41e5-a5bf-6a5618e49a97	65430	new	in_stock	Nissan	BLACK	136		"""**FREE LIFETIME WARRANTY** Nissan of Wichita Falls was VOTED TEXOMA'S BEST PLACE TO BUY A NEW CAR, TRUCK AND SUV for 2023/2024. How? Simply for providing outstanding customer service experiences! Give us a shout here at Nissan of Wichita Falls. Your time will be valued, and we will provide you with honest transparent and upfront service every step of the way! 940-691-6888.2025 Nissan Armada SL3.5L DOHC9-Speed Automatic RWD"""			http://vehicle-photos-published.vauto.com/94/f2/73/5e-2913-4735-ab5f-aaba3de29e77/image-1.jpg	0	Armada	65430	vehicle			JN8AY3BD7S9300748	2025
"2025 Nissan Sentra SR"	892eb86e-edc7-49d8-8a20-1d760a50c5bb	28065	new	in_stock	Nissan	BLACK	76		"""**FREE LIFETIME WARRANTY** Nissan of Wichita Falls was VOTED TEXOMA'S BEST PLACE TO BUY A NEW CAR, TRUCK AND SUV for 2023/2024. How? Simply for providing outstanding customer service experiences! Give us a shout here at Nissan of Wichita Falls. Your time will be valued, and we will provide you with honest transparent and upfront service every step of the way! 940-691-6888.2025 Nissan Sentra SR2.0L I4 DOHCCVT with Xtronic FWD30/38 City/Highway MPGCVT with Xtronic, Sport Cloth."""			http://vehicle-photos-published.vauto.com/a8/7b/7c/2f-bd93-40bf-90e9-e48197405336/image-1.jpg	0	Sentra	28065	vehicle			3N1AB8DVXSY279178	2025
"2025 Nissan Armada Platinum"	83e8c8ec-caad-49d3-8df4-8fe7417b2fbe	73700	new	in_stock	Nissan	BLACK	123		"""**FREE LIFETIME WARRANTY** Nissan of Wichita Falls was VOTED TEXOMA'S BEST PLACE TO BUY A NEW CAR, TRUCK AND SUV for 2023/2024. How? Simply for providing outstanding customer service experiences! Give us a shout here at Nissan of Wichita Falls. Your time will be valued, and we will provide you with honest transparent and upfront service every step of the way! 940-691-6888.2025 Nissan Armada Platinum3.5L DOHC9-Speed Automatic RWD"""			http://vehicle-photos-published.vauto.com/0b/21/30/ed-0c2f-4c60-bfac-b74fa5a63c3a/image-1.jpg	0	Armada	73700	vehicle			JN8AY3EA2S9001198	2025
"2025 Nissan Sentra SR"	fb0191d6-f18d-4430-bf67-63a2ea50c128	27670	new	in_stock	Nissan	BLUE	68		"""**FREE LIFETIME WARRANTY** Nissan of Wichita Falls was VOTED TEXOMA'S BEST PLACE TO BUY A NEW CAR, TRUCK AND SUV for 2023/2024. How? Simply for providing outstanding customer service experiences! Give us a shout here at Nissan of Wichita Falls. Your time will be valued, and we will provide you with honest transparent and upfront service every step of the way! 940-691-6888.2025 Nissan Sentra SR2.0L I4 DOHCCVT with Xtronic FWD30/38 City/Highway MPGCVT with Xtronic, Sport Cloth."""			http://vehicle-photos-published.vauto.com/78/c5/48/69-53d4-4897-8632-8696a6038634/image-1.jpg	0	Sentra	27670	vehicle			3N1AB8DV7SY286962	2025
"2025 Nissan Armada SL"	ba402e3a-6a6d-45c9-9710-4a1db731f3cc	69860	new	in_stock	Nissan	GRAY	46		"""**FREE LIFETIME WARRANTY** Nissan of Wichita Falls was VOTED TEXOMA'S BEST PLACE TO BUY A NEW CAR, TRUCK AND SUV for 2023/2024. How? Simply for providing outstanding customer service experiences! Give us a shout here at Nissan of Wichita Falls. Your time will be valued, and we will provide you with honest transparent and upfront service every step of the way! 940-691-6888.2025 Nissan Armada SL3.5L DOHC9-Speed Automatic RWD"""			http://vehicle-photos-published.vauto.com/e3/72/7d/23-ffdf-45bc-9f37-bbffb51e63f5/image-1.jpg	0	Armada	69860	vehicle			JN8AY3BD2S9301211	2025
"2026 Nissan Rogue SV"	0f4fff1e-a51f-4ca0-afd2-e194a619bf06	0	new	in_stock	Nissan	BLACK	4		"""**FREE LIFETIME WARRANTY** Nissan of Wichita Falls was VOTED TEXOMA'S BEST PLACE TO BUY A NEW CAR, TRUCK AND SUV for 2023/2024. How? Simply for providing outstanding customer service experiences! Give us a shout here at Nissan of Wichita Falls. Your time will be valued, and we will provide you with honest transparent and upfront service every step of the way! 940-691-6888.2026 Nissan Rogue SVFWD"""			http://vehicle-photos-published.vauto.com/ca/b7/11/9b-af27-41ba-a986-1b90ba0825b6/image-1.jpg	0	Rogue	0	vehicle			5N1BT3BA6TC673266	2026
"2024 Nissan Sentra SR"	7add4ee2-00e1-4d1e-b22f-576a3d60be6b	26988	used	in_stock	Nissan	WHITE	39		"""**FREE LIFETIME WARRANTY** Nissan of Wichita Falls was VOTED TEXOMA'S BEST PLACE TO BUY A NEW CAR, TRUCK AND SUV for 2023/2024. How? Simply for providing outstanding customer service experiences! Give us a shout here at Nissan of Wichita Falls. Your time will be valued, and we will provide you with honest transparent and upfront service every step of the way! 940-691-6888.2024 Nissan Sentra SR2.0L I4 DOHCCVT with Xtronic FWD30/38 City/Highway MPG**CARFAX 1 OWNER**, **HOME OF THE FREE LIFETIME POWERTRAIN WARRANTY**, **CLEAN CARFAX**, **NAVIGATION**, **LEATHER**, **HEATED SEATS**, **SUNROOF**, **KEYLESS ENTRY**, **REMOTE START**, **BLUETOOTH HANDS FREE CALLING**, **SUPER CLEAN**, CVT with Xtronic, SV Premium w/Quilted Leather Seat Trim.Certification Program Details: Nissan Certified Pre-Owned Details: * Vehicle History * Limited Warranty: 84 Month/100,000 Mile (whichever comes first) from original in-service date * Warranty Deductible: $100 * Includes Car Rental and Trip Interruption Reimbursement. 3 month SiriusXM trial subscription. * Transferable Warranty * 167 Point Inspection * Roadside Assistance"""			http://vehicle-photos-published.vauto.com/3f/ea/d1/cf-c89f-4a2b-8835-6b76326d62c4/image-1.jpg	20687	Sentra	26988	vehicle			3N1AB8DVXRY333086	2024
"2026 Nissan Rogue SV"	676ecd30-f0b7-45ea-915c-748578cac708	0	new	in_stock	Nissan	BLACK	6		"""**FREE LIFETIME WARRANTY** Nissan of Wichita Falls was VOTED TEXOMA'S BEST PLACE TO BUY A NEW CAR, TRUCK AND SUV for 2023/2024. How? Simply for providing outstanding customer service experiences! Give us a shout here at Nissan of Wichita Falls. Your time will be valued, and we will provide you with honest transparent and upfront service every step of the way! 940-691-6888.2026 Nissan Rogue SVFWD"""			http://vehicle-photos-published.vauto.com/ca/b7/11/9b-af27-41ba-a986-1b90ba0825b6/image-1.jpg	0	Rogue	0	vehicle			5N1BT3BA1TC674101	2026
"2024 Nissan Sentra SR"	cc7d60db-5416-4139-b730-c067167fefe9	25607	used	in_stock	Nissan	WHITE	9		"""2024 Nissan Sentra SR2.0L I4 DOHCCVT with Xtronic FWD30/38 City/Highway MPG**CARFAX 1 OWNER**, **CLEAN CARFAX**, **HEATED SEATS**, **SUPER CLEAN**, CVT with Xtronic, Sport Cloth.Certification Program Details: Nissan Certified Pre-Owned Details: * Vehicle History * Limited Warranty: 84 Month/100,000 Mile (whichever comes first) from original in-service date * Warranty Deductible: $100 * Includes Car Rental and Trip Interruption Reimbursement. 3 month SiriusXM trial subscription. * Transferable Warranty * 167 Point Inspection * Roadside Assistance"""			http://vehicle-photos-published.vauto.com/f8/9a/7a/cc-dbc4-4764-af06-09ed30db2de4/image-1.jpg	15557	Sentra	25607	vehicle			3N1AB8DV7RY261649	2024
"2025 Nissan Sentra SV"	270df4e8-a6d7-4ae0-946d-a6cc61cf4d38	25245	new	in_stock	Nissan	GRAY	58		"""**FREE LIFETIME WARRANTY** Nissan of Wichita Falls was VOTED TEXOMA'S BEST PLACE TO BUY A NEW CAR, TRUCK AND SUV for 2023/2024. How? Simply for providing outstanding customer service experiences! Give us a shout here at Nissan of Wichita Falls. Your time will be valued, and we will provide you with honest transparent and upfront service every step of the way! 940-691-6888.2025 Nissan Sentra SV2.0L I4 DOHCCVT with Xtronic FWD30/40 City/Highway MPGCVT with Xtronic, Charcoal Cloth."""			http://vehicle-photos-published.vauto.com/08/ca/2f/41-f526-465f-8347-6a1fdf8756fe/image-1.jpg	0	Sentra	25245	vehicle			3N1AB8CV4SY346357	2025
